text,label
فتاح,فتح
افتح,فتح
افتحها,فتح
افتح الساعد,فتح
افتح الكف,فتح
افتح كف,فتح
بسط الكف,فتح
ابسط الكف,فتح
الرجاء بسط الكف,فتح
الرجاء ابسط الكف,فتح
الرجاء فتح,فتح
رجاء فتح,فتح
رجاء بسط الكف,فتح
رجاء افتح الكف,فتح
فتح,فتح
رجاء افتح الساعد,فتح
رجاء افتح الكف,فتح
رجاء فتح الكف,فتح
الرجاء قم بفتح,فتح
رجاء قم بفتح,فتح
الرجاء افتح,فتح
رجاء افتح,فتح
رجاء افتح الاصابع,فتح
الرجاء افتح الاصابع,فتح
الرجاء افتح الأصابع,فتح
الرجاء فتح الأصابع,فتح
رجاء فتح الأصابع,فتح
افتح الأصابع,فتح
يرجى فتح اليد,فتح
فتح اليد,فتح
افتح اليد,فتح
رجاء فتح,فتح
رجاء اغلق,غلق
الرجاء اغلاق الساعد,غلق
الرجاء الاغلاق,غلق
الرجاء اغلاق,غلق
اقبض الكف,غلق
قبض الكف,غلق
الرجاء اغلاق الكف,غلق
سكر,غلق
الرجاء تسكير الكف,غلق
الرجاء اقبض الكف,غلق
الرجاء اغلاق الأصابع,غلق
الرجاء اغلق الاصابع,غلق
الرجاء اغلق الأصابع,غلق
الرجاء غلق الاصابع,غلق
الرجاء غلق الأصابع,غلق
الرجاء اغلق الكف,غلق
الرجاء اغلق,غلق
رجاء غلق,غلق
رجاء قبض,غلق
الرجاء قبض,غلق
الرجاء قبض الكف,غلق
اقبض كف,غلق
قبض كف,غلق
اغلق الكف,غلق
اغلاق الساعد,غلق
اغلاق,غلق
اغلق,غلق
غلق الاصابع,غلق
غلق الأصابع,غلق
قبض,غلق
غلق الكف,غلق
غلق اليد,غلق
اغلاق اليد,غلق
غلق,غلق
الرجاء اغلاق اليد,غلق
سكر الابهام,غلق الابهام
اغلاق الابهام,غلق الابهام
الرجاء اغلق الابهام,غلق الابهام
الرجاء اغلاق الابهام,غلق الابهام
غلق الابهام,غلق الابهام
رجاء اغلق الابهام,غلق الابهام
الرجاء غلق الابهام,غلق الابهام
اغلق الابهام,غلق الابهام
رجاء اغلاق الابهام,غلق الابهام
قم باغلاق الابهام,غلق الابهام
الرجاء قم باغلاق الابهام,غلق الابهام
قم بغلق الابهام,غلق الابهام
رجاء قم باغلاق الابهام,غلق الابهام
فتح باهم,فتح الابهام
اوكي,فتح الابهام
تمام,فتح الابهام
فتاح الابهام,فتح الابهام
فتح الابهام,فتح الابهام
الرجاء فتح الابهام,فتح الابهام
رجاء قم بفتح الابهام,فتح الابهام
قم بفتح الابهام,فتح الابهام
الرجاء افتح الابهام,فتح الابهام
رجاء افتح الابهام,فتح الابهام
الرجاء قم بفتح الابهام,فتح الابهام
